Product URL,Accessory description,Accessory type 1,Actuator type,Application,Bluetooth network,Body material,Color,Color scale,Connectivity mode,Contact action,Cura,Degree of Protection,Ethernet network,Evaporation,Family,Frequency,Function,Input voltage,Memory type,Model,Module type,Nominal section of borne cable,Number of points,Number of poles,Optional,PACKAGING,PAINT COLOR,PAINT COMMERCIAL COLOR,PAINT COMPONENT,PAINT FINISH,PAINT FUNCTION,PAINT PRODUCTS LINE,PAINT VERSION,Payloads,Product family,RESIN SYSTEM,Rated Power,Real time clock (RTC),SOLIDS VOLUME,Shine,Size,Smart code,Standard,Storage capacity,Subscription time,Supplement for accessories for terminal block line,Supply voltage,Synchronous speed,Terminal line reference,Thermal Class,Type,Voltage,Wi-Fi network
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581126,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581148,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581151,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581152,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/CLEARCOAT-HT-W-30/p/15581154,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/12268013,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Red,Red,,Smooth,Primer,Polyurethane,,,,Acrylic,,,75 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/12269727,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Yellow,Yellow,,Smooth,Primer,Polyurethane,,,,Acrylic,,,73 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/12269761,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,White,White,,Smooth,Primer,Automotive Refinishing,,,,Acrylic,,,58 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/12269947,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Blue,Blue,,Smooth,Primer,Polyurethane,,,,Acrylic,,,73 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/12270105,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Black,Black,,Smooth,Primer,Polyurethane,,,,Acrylic,,,74 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/14444801,,,,,,,,"13,756",,,,,,,,,,,,,,,,,,Round Can,Grey,Grey,,Smooth,Primer,Polyurethane,,,,Acrylic,,,75 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/14457824,,,,,,,,"13,756",,,,,,,,,,,,,,,,,,Metallic Gallon,Grey,Grey,,Smooth,Primer,Polyurethane,,,,Acrylic,,,75 ± 2% (ISO 3233 - 1998),Ultragflat,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/15582222,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/15582223,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/PRIMER-WET-HT/p/15582224,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/15429245,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/15429413,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/15429415,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/15429416,,,,,,,,,,,,,,,,,,,,,,,,,,Round Can,,,,,,Catalyst,,,,,,,,,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/16138473,,,,,,,,"17,405",,,,,,,,,,,,,,,,,,Round Can,Grey,Grey,,Smooth,Primer,Automotive Refinishing,,,,Modified Alkyd,,,47 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/HT-Line/Primer-HT-W-35-2K/p/16138475,,,,,,,,"17,405",,,,,,,,,,,,,,,,,,Metallic Gallon,Grey,Grey,,Smooth,Primer,Automotive Refinishing,,,,Modified Alkyd,,,60 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12256952,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,Black,Black Matte,,Smooth,Finishing,Alkyd,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12256956,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Black,Black Matte,,Smooth,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12259908,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Black,Black Cadilac,,Smooth,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12266826,,,,,,,,"80,005",,,,,,,,,,,,,,,,,,Round Can,Red,RED ROYAL VW 84,,Smooth,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12278877,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Aluminum,Aluminum Opalescente,,Metallic,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12666152,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,White,PURE WHITE,,,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/12666154,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,White,PURE WHITE,,,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Bright,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/15216414,,,,,,,,0,,,,,,,,,,,,,,,,,,Metallic Gallon,Black,SEMI - MATTE BLACK,,Smooth,Finishing,Automotive Refinishing,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Semi -Mate,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-NITROCELLULOSE-LACQUER/p/15216638,,,,,,,,0,,,,,,,,,,,,,,,,,,Round Can,Black,SEMI - MATTE BLACK,,Smooth,Finishing,MODIFIED POLYESTER,,,,Alkyd/Nitrocellulose,,,NAO RELEVANTE,Semi -Mate,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-POLIESTER/p/12259071,,,,,,,,"30,035",,,,,,,,,,,,,,,,,,Round Can,Silver,SILVER REFLEX MET VW 2001,,Metallic,Intermediate,Polyester,,,,Polyester,,,15 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-POLIESTER/p/12259128,,,,,,,,"30,151",,,,,,,,,,,,,,,,,,Round Can,Silver,SILVER LUNAR MET VW91,,Metallic,Intermediate,Polyester,,,,Polyester,,,15 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
https://www.weg.net/catalog/weg/BR/en/Coatings-and-Varnishes/Automotive-Refinishing-and-Fleet/Ready-To-Use-Line/W-CAR-POLIESTER/p/12259130,,,,,,,,"30,034",,,,,,,,,,,,,,,,,,Round Can,Silver,SILVER SIRIUS MET VW 2008,,Metallic,Intermediate,Polyester,,,,Polyester,,,15 ± 2% (ISO 3233 - 1998),Matte,,,,,,,,,,,,,
