Product URL,Feature,Value
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992059,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,COR TINTA,Prata
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,COR COMERCIAL TINTA,Prata
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,Escala de cor,RAL 9006
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,Brilho,Semi-Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,EMBALAGEM,Tambor
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,LINHA PRODUTOS TINTAS,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,FUNCAO TINTA,Acabamento
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,SISTEMA RESINA,Poliéster
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/Bobinas/DURACOIL-POLI%C3%89STER/p/17992065,SOLIDOS VOLUME,50 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,COR TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,COR COMERCIAL TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,Escala de cor,0
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,Brilho,Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,EMBALAGEM,Galão Metálico
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,LINHA PRODUTOS TINTAS,Etil Silicato
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,FUNCAO TINTA,Primer
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,SISTEMA RESINA,Silicato Etila
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13629672,SOLIDOS VOLUME,38 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,COR TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,COR COMERCIAL TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,Escala de cor,0
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,ACABAMENTO PINTURA,Liso
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,Brilho,Fosco
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,EMBALAGEM,Galão Metálico
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,LINHA PRODUTOS TINTAS,Etil Silicato
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,FUNCAO TINTA,Primer
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,SISTEMA RESINA,Silicato Etila
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Industrial-Anticorrosivo/A%C3%A7%C3%BAcar-e-%C3%81lcool/ETIL-SILICATO-DE-ZINCO-PD/p/13643031,SOLIDOS VOLUME,54 ± 2% (ISO 3233 - 1998)
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/10001917,EMBALAGEM,Bombona Plástica
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/10001917,LINHA PRODUTOS TINTAS,Catalisador
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/14528225,COR TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/14528225,COR COMERCIAL TINTA,Cinza
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/14528225,Escala de cor,0
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Tinta-Liquida/Mar%C3%ADtima/ETIL-SILICATO-ZINCO-N-1661-PD/p/14528225,ACABAMENTO PINTURA,Liso
