Product URL,ACABAMENTO PINTURA,Brilho,COMPONENTE TINTA,CONTEUDO EMBALAGEM,COR COMERCIAL TINTA,COR TINTA,Classe Térmica,Cor,Cura,EMBALAGEM,Escala de cor,FUNCAO TINTA,Família,Função,LINHA PRODUTOS TINTAS,SISTEMA RESINA,SOLIDOS VOLUME,VERSAO TINTA
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5004/p/11596459,,,,,,,,,,Tambor,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5007/p/12295375,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5007/p/12969517,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5007/p/14734737,,,,,,,,,,Tambor,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5008/p/12401910,,,,,,,,,,Lata Retangular,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5008/p/12401916,,,,,,,,,,Lata Redonda,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5008/p/12943175,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5008/p/14021321,,,,,,,,,,Tambor,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-PU-5009/p/12492856,,,,,,,,,,Lata Quadrada,,,,,Poliuretano,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Tinta/DILUENTE-WASH-PRIMER-8001/p/10003935,,,,,,,,,,Lata Retangular,,,,,Diluente Wash Primer,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1101/p/10001351,,,,,,,,,,Lata Quadrada,,,,,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1101/p/10001352,,,,,,,,,,Lata Retangular,,,,,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1101/p/10001353,,,,,,,,,,,,,,Diluente Verniz,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1102/p/10001373,,,,,,,,,,Lata Quadrada,,,,,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1102/p/10001374,,,,,,,,,,Lata Retangular,,,,,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluente-Verniz/DILUENTE-RESINA-LACKTHERM-1102/p/10625418,,,,,,,,,,Tambor,,,,,Verniz Impregnação,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-5870/p/12250491,,,,,,,,,,Lata Redonda,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-5870/p/12250494,,,,,,,,,,Lata Retangular,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-5870/p/12250496,,,,,,,,,,Lata Quadrada,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-5870/p/14939059,,,,,,,,,,Tambor,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-707/p/12251792,,,,,,,,,,Lata Redonda,,,,,,,,
https://www.weg.net/catalog/weg/BR/pt/Tintas-e-Vernizes/Diluentes/Diluentes-Auxiliares-Repintura/DILUENTE-707/p/12251797,,,,,,,,,,Lata Retangular,,,,,,,,
